name,rating,total_reviews,price,buyers
"EconoHome Compostable Paper Plates 9 inch [125-Pack] & Clamshell Take Out Food Containers [6x6 50-Pack] - Made of Bagasse, Sugarcane Fiber - Microwave, Refrigerator-Safe",N/A,N/A,,N/A
"Hygloss Products Paper Plates - Uncoated White Plate - Use for Foodware, Events, Activities, Crafts Projects and More - Environmentally Friendly - Recyclable and Disposable - 6-Inches - 100 Pack",4.1,3282,4,7000
"Glad 10 Inch Round Paper Plates 50 Count - Heavy Duty Round Disposable Plates for Parties - Sturdy, Soak Proof, Microwave Safe Plates - Large, Thick Plates for Dinner - Bulk Microwavable Paper Plates",4.6,24715,8,4000
"100% Compostable 10 Inch Heavy-Duty [125-Pack] Eco-Friendly Disposable White Bagasse Plate, Made of Natural Sugarcane Fibers - 10"" Biodegradable Paper Plates by Stack Man",4.7,2320,26,2000
"Hefty ECOSAVE Compostable Thanksgiving 5-Compartment Paper Trays, 12 Count",4.6,459,7,600+
"Glad Disposable Plates, Pink Hydrangea - Strong, Sturdy, Soak Proof, and Microwavable Decorative Paper Plates - Round Heavy Duty Paper Plates for Dinner and Everyday Use, 8.5 Inch, 50 Count",4.7,8710,9,1000
"GUSTO [9 Inch - 300 Count] Uncoated White Paper Plates - Disposable Party Plates, Decorative Paper Plates for Crafts",4.4,5500,22,1000
"ECOLipak 100% Compostable 5 Compartment Plates, 125 Pack Disposable Paper Plates, Heavy-Duty Biodegradable Sugarcane Plates, Eco-Friendly School Lunch Trays",4.5,1776,28,1000
"Glad Round Disposable Paper Plates for All Occasions | New & Improved Quality | Soak/ Cut Proof, Microwaveable Heavy Duty | 10"" Diameter, 50 Count Bulk Plates",4.7,3717,8,1000
"Paper Bowls, 100% Compostable Disposable Soup Bowl [125-Pack] - (PFAS-Free) - (BPI Certified) - [12 oz] Heavy Duty, Eco-Friendly, Biodegradable Bagasse Hot Food Plates and Bowls - Natural Brown",4.7,9285,18,7000
100% Compostable Paper Plates [9 in.] COMPARTMENTS – 150 Disposable Plates Eco Friendly Sturdy Tree Free Liquid and Heat Resistant Alternative to Plastic or Paper Plates,4.4,123,38,50+
Chic Leaf Palm Leaf Plates Disposable Bamboo Plates Like 9 Inch Square Party 50 Pack - Heavy Duty Compostable Plates - Better than Plastic and Paper Plates,4.6,1296,34,50+
"ECO SOUL 100% Clear Compostable Party Cups | (50 Count, 12 oz) | Disposable | Biodegradable | Plant Based Eco-friendly Alternative to Paper & Plastic Cups | BPI Certified | For Weddings & Gatherings",4.3,80,13,300+
"Chinet Chinet 10 3/8"" Paper Dinner Plates (165Count),, ()",4.5,436,28,1000
"Amazon Basics Ultra Paper Plates, 10.06 Inch, Disposable, 372 Count (2 pack of 186), (Previously Encore)",4.6,7624,80,1000
"Glad Square Disposable Paper Plates for All Occasions | Soak Proof, Cut Proof, Microwaveable Heavy Duty Disposable Plates | 8.5"" Diameter, 50 Count Bulk Paper Plates,Purple",4.7,8497,10,800+
"Chinet Classic White, Round All Occasion Fiber Plates, 8.75 Inch, 100 Count",4.4,621,18,1000
"Nicole Home Collection Everyday Dinnerware Paper Plate, 9-Inch (100 count)",4.2,974,3,1000
"brheez Disposable Oval Paper Dinner Plates (25pk) Heavy Duty Better Than Paper Plates (10""x12.5"") Natural, Compostable Disposable Platters, Large Oval Paper Plates-Heavy Duty",4.5,716,13,700+
"Genuine Joe 10321 Paper Plates, 6 7/8"" (pack of 125 plates)",4.5,9506,20,800+
Dixie Heavy Duty Paper Plates (6.875 inch 50 Count),4.6,830,9,800+
"Stock Your Home 9-Inch Paper Plates Uncoated, Everyday Disposable Plates 9"" Paper Plate Bulk, White, 300 Count",4.3,8156,19,700+
"Disposable Paper Plate: Heavy Duty, Elegant, Eco-Friendly, Compostable Paper Plates (50 Count), Tree Free Sugarcane Bagasse Plate with Color Party Plate (10 inch Gold Dinner Plate)",4.6,130,26,400+
"Dixie Large Paper Plates, 10 Inch, 220 Count, 2X Stronger*, Microwave-Safe, Soak-Proof, Cut Resistant, Disposable Plates For Everyday Breakfast, Lunch, & Dinner Meals",4.8,71432,17,N/A
"Dixie Medium Paper Plates, 8.5 Inch, 90 Count, 2X Stronger, Microwave-Safe, Soak-Proof, Cut Resistant, Disposable Plates For Everyday Breakfast, Lunch, & Dinner Meals",4.8,6222,5,N/A
"Solo AnyDay Paper Plates, 8.5 Inch Paper Plates, Case of 360 Total Paper Plates",4.7,2857,34,700+
"100% Compostable Square Paper Plates [50-Pack] - {PFAS-Free} - {BPI Certified} - [6 Inch] Heavy Duty, Eco-Friendly, Biodegradable Bagasse Dinner Plates - Natural Brown 6"" Plate by Stack Man",4.7,5983,11,400+
"Dixie 6 7/8"" Medium-Weight Paper Plates by GP PRO (Georgia-Pacific), Pathways, UX7WS (CASE), 125 Count (Pack of 4), Total 500",4.5,2697,40,500+
"Susty Party 10-Inch Compostable Round (50-Count), Sugarcane Heavy Duty Disposable Biodegradable Plate for Dinner, White",4.6,794,14,400+
"Raj Eco Compostable Palm Leaf Plates Like Bamboo Plates Disposable - 6 Inch Square 50 Party Plates, Natural Wooden, Eco-Friendly, Fancy Biodegradable & Disposable Dessert Appetizer Plates",4.6,95,22,400+
"Susty Party 10-Inch Compostable Square Plates (50-Count), Sugarcane Heavy Duty Disposable Biodegradable Plate for Dinner, White",4.6,943,17,400+
"100% Compostable Paper Plates, Heavy Duty Disposable Plates [125-Pack] 9 Inch Plates - Eco-Friendly, Biodegradable Sugarcane Bagasse, Natural Unbleached Brown 9"" Dinner Paper Plate Disposable",4.7,22163,21,10000
"Nicole Home Collection 100% Compostable Heavy Duty 10"" Disposable Paper Plates Bagasse Biodegradable Eco-Friendly Natural Sugarcane 100 Count",4.7,805,20,50+
"100% Compostable 9 Inch Heavy-Duty [125-Pack] Eco-Friendly Disposable White Bagasse Plate, Made of Natural Sugarcane Fibers - 9"" Biodegradable Paper Plates by Stack Man",4.7,4953,21,5000
"ECO SOUL 100% Compostable, Disposable Party Cups | Eco-friendly Party Cups (50, 16 Fl oz)",4.7,167,14,200+
